Gene symbol	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
ABCA5	18.3573931631451	10.1051082532833	43.0816968869746	63.3460117428869	73.0764683793494	48.0772676917927	29.5976947770252	25.8960081273501	79.5060325086365	39.5052896241273	26.2450444911711	25.2006793088248	24.6308966908215	24.9615024913938	32.7153779078437	25.803466085888495	27.6525438390615	26.2290249600315	38.1762854323641	39.9719846624521
ABCB1	13.4679525827006	10.767679118754	34.8905752076193	145.813992006307	119.908319647389	57.4775539002639	17.7391911842345	20.1292059079816	9.89406267254468	64.5625498943346	48.183483729277	25.3291102232307	15.4641322982016	13.5669881837064	22.471434240236	16.5372854744689	72.4009431787399	23.3278412907461	14.9636450604901	24.6309465640174
ABHD5	62.8785675882776	62.1846170177905	42.7999062716557	39.9636102917713	72.5112558962108	32.9409148964082	36.5036459610023	305.903889490578	45.1452284079429	37.2702020022212	29.4352613499423	42.2795633409778	108.25922943492	85.5107900339339	31.0795910661916	48.108613692506	24.3727957970208	160.347673281332	20.9114532505546	43.0560665293304
ACSM3	16.6745914463635	20.602761562653	28.5598118382921	22.3762071936173	15.9214043415201	26.5711110641463	141.219472477266	29.8716008104086	32.4085634425173	16.1313000650856	64.5054927331567	19.4008540967797	17.9351933926348	17.6797588050747	21.2418918962239	16.4920796171114	22.0781959176338	26.2592236497512	23.3557539771962	25.0397297314372
ADAM19	59.0135014263574	25.443913409246495	75.9288794897186	27.9261372034811	24.425808119415105	40.2562818056517	17.3581763919207	101.632019198274	238.44466421212	54.9048682959947	25.0867069418695	27.3222872978772	36.5125864793651	33.1125400552211	101.232846594274	71.1653446480655	144.981963518206	83.5209786985406	78.2557226539561	50.6704395689815
ADAMTS5	21.4120304595852	7.78094086988467	13.7614611472971	15.144220418539	16.7985461509716	11.2836218353663	14.1321451333968	9.32392941015802	25.8665762193187	10.7169678182462	8.14464147139343	10.3786831193219	10.0810407268312	9.47276762916636	13.9694486730378	12.47631167615	15.6639817822115	16.4108195049747	14.9177381309402	17.5346859896436
ADI1	175.233638581405	280.820902423211	101.859276358544	66.9854087773668	91.4976061680355	65.1564251786039	228.94486087503	70.2346283071149	429.76439812059493	154.01952439016	506.489076318614	277.963617447498	48.6164935987617	79.6439984447434	167.628838931177	95.0873709212401	112.14092608813	121.672799511141	283.591945004701	96.2211997863086
AGPAT5	60.8747844709602	34.4773596139361	59.896003713113	42.9778016860367	37.8346322664888	61.088712092723	138.774290888964	62.6421186384958	29.5463831833877	103.105094584917	225.820959130499	118.054960125274	50.0999964105705	42.4977759994954	69.7306749189725	33.0068093182122	89.4021423175601	26.8342752489032	42.1446658017072	37.6254546799964
ALAS1	72.4811629306667	49.8166791888334	50.1665396219568	49.9339161405516	71.5416295923821	54.2315181850898	91.2761523411389	54.9959993893497	116.397674736377	227.115344099185	109.914421914953	135.253293819421	87.2835849799835	64.2730689272948	64.555140862948	69.6480388285993	51.993895861597	74.6560630287126	63.550019769522	36.4148413567265
ALPL	20.8884327534036	16.1838205193012	20.806711868803	19.6829951988401	17.369866884975	19.4364122351076	12.2248908913907	13.3522053668792	10.6101485056388	16.5213834337492	11.6686525101193	22.731139384031305	16.6501139256715	16.2594663080424	23.7664901110947	16.4226468287975	31.647729858579705	176.086115109137	20.903535784357	32.3882758381208
